ID,name,cid,pIC50,vina_affinity,smiles
kampo_0400,"2-[(1R,5R)-5-[2,4-Dihydroxy-3-(3-methylbut-2-enyl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-1,3,5a,8-tetrahydroxy-10a-(3-methylbut-2-enyl)-[1]benzofuro[3,2-b]chromen-11-one",71448959,6.50,-11.27,CC1=CC(CC(C1)(C2=C(C=C(C=C2)O)O)C(=O)C3=C(C(=C(C=C3)O)CC=C(C)C)O)C4=C(C5=C(C=C4O)OC6(C7=C(C=C(C=C7)O)OC6(C5=O)CC=C(C)C)O)O
kampo_1015,CID 101676953,101676953,6.31,-10.74,C1C(C(OC2=C1C(=C(C(=C2)O)C3C4C5C6C(COC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O6)O)O)O)O)O)O)OC(=O)C9=CC(=C(C(=C9C1=C(C(=C(C(=C1O)O)O)C1=C(C3=C(C(=C1O)O)O)C(=O)O4)C(=O)O5)O)O)O)O)C1=CC(=C(C=C1)O)O)O
kampo_2591,Sennoside A,73111,6.16,-8.87,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O
kampo_1963,Licoagrone,5318993,6.10,-8.31,CC(=CCC1=CC2=C(C=C1O)OC(C2=O)(C3=CC(=C(C=C3C=C4C(=O)C5=C(O4)C(=C(C=C5)O)CC=C(C)C)O)O)C(=O)C6=CC(=C(C=C6)O)CC=C(C)C)C
kampo_0547,4-Coumaroyl-CoA,6440013,6.04,-8.18,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O
kampo_2332,Palmidin A,5320384,5.99,-10.97,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C5=C(C(=CC=C5)O)C(=O)C6=C4C=C(C=C6O)CO)C=C(C=C3O)O
kampo_1179,Casuarictin,73644,5.98,-9.37,C1C2C(C3C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O3)O)O)O)O)O)O)OC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O1)O)O)O)O)O)O
kampo_0759,"8-((5,7-Dihydroxy-2-(3,4,5-trihydroxyphenyl)-3-(3,4,5-trihydroxyphenylcarbonyloxy)chroman-8-yl)methyl)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,4,5-trihydroxybenzoate",467312,5.93,-9.86,C1C(C(OC2=C1C(=CC(=C2CC3=C(C=C(C4=C3OC(C(C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)C6=CC(=C(C(=C6)O)O)O)O)O)O)O)C7=CC(=C(C(=C7)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O
kampo_1123,Caffeoyl-coenzyme A,6119622,5.93,-8.63,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C=C4)O)O)O
kampo_2437,"Procyanidin B-5 3,3'-di-O-gallate",3086518,5.93,-11.35,C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O
kampo_2732,Theasinensin A,442543,5.89,-8.30,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3C4=C(C(=C(C=C4C5C(CC6=C(C=C(C=C6O5)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O
kampo_1190,Chebulinic acid,72284,5.85,-8.68,C1=C(C=C(C(=C1O)O)O)C(=O)OCC2C3C(C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C6=C5C(C(C(=O)O3)CC(=O)O)C(C(=O)O6)O)O)O)OC(=O)C7=CC(=C(C(=C7)O)O)O
kampo_2035,Lyciumin A,14430290,5.83,-9.22,CC(C)C1C(=O)NCC(=O)NC(C(=O)NC(CC2=CN(C(C(=O)N1)NC(=O)C(CC3=CC=C(C=C3)O)NC(=O)C4CCCN4C(=O)C5CCC(=O)N5)C6=CC=CC=C26)C(=O)O)CO
kampo_2715,Tenuifoliside C,11968391,5.83,-8.62,COC1=CC(=CC(=C1O)OC)C=CC(=O)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)OC(=O)C=CC4=CC(=C(C(=C4)OC)OC)OC)CO)O)O)O
kampo_1077,CID 134737870,134737870,5.83,-8.04,CC1=C(C(CC(C1)O)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C2C=C3C(CC(CC3(O2)C)O)(C)C)C)C
