,index,pIC50,index,number,cid,name,smiles,rex,rUV,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,T_mu,Vmol,MW,B1,B2,B3,nuclear_repulsion_energy,E0,dE1,dE2,dE3,dE4,dE5,dE6,dE7,dE8,dE9,dE10,dE11,dE12,dE13,dE14,dE15,dE16,dE17,dE18,dE19,dE20,dE21,dE22,dE23,dE24,dE25,dE26,dE27,dE28,dE29,dE30,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
348,348,6.497610503,348,kampo_0400,71448959,"2-[(1R,5R)-5-[2,4-Dihydroxy-3-(3-methylbut-2-enyl)benzoyl]-5-(2,4-dihydroxyphenyl)-3-methylcyclohex-2-en-1-yl]-1,3,5a,8-tetrahydroxy-10a-(3-methylbut-2-enyl)-[1]benzofuro[3,2-b]chromen-11-one",CC1=CC(CC(C1)(C2=C(C=C(C=C2)O)O)C(=O)C3=C(C(=C(C=C3)O)CC=C(C)C)O)C4=C(C5=C(C=C4O)OC6(C7=C(C=C(C=C7)O)OC6(C5=O)CC=C(C)C)O)O,28.38210368,18.78877133,92.91413014,36.84363759,80.03117731,7.66306277,0.42167634,0.34574976,-0.37900786,0.67192285,0.895397,3.64169819,0.97161065,0.80477974,-1.0857989,4.7837,5.1653,527.71,776.835,24.53816191,13.55302955,10.79250307,7791.246969,-2642.93005,3.8257,4.2523,4.5076,4.7985,5.0451,5.1309,5.1991,5.2198,5.2852,5.6982,5.8936,5.9145,5.9839,6.0566,6.0593,6.0915,6.1295,6.1536,6.2271,6.2663,6.3026,6.3042,6.3093,6.3741,6.4058,6.4254,6.5597,6.6088,6.6175,6.6514,0.261390072,0.235166851,0.221847546,0.208398458,0.198212127,0.194897581,0.192340982,0.191578221,0.189207599,0.175494016,0.16967558,0.169076,0.167115092,0.165109137,0.165035565,0.164163178,0.163145444,0.1625065,0.160588396,0.159583805,0.158664678,0.158624409,0.158496188,0.156884894,0.156108527,0.155632334,0.152445996,0.1513134,0.151114469,0.150344288
886,886,6.307521022,886,kampo_1015,101676953,CID 101676953,C1C(C(OC2=C1C(=C(C(=C2)O)C3C4C5C6C(COC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O6)O)O)O)O)O)O)OC(=O)C9=CC(=C(C(=C9C1=C(C(=C(C(=C1O)O)O)C1=C(C3=C(C(=C1O)O)O)C(=O)O4)C(=O)O5)O)O)O)O)C1=CC(=C(C=C1)O)O)O,86.80352909,65.50461968,93.070048,51.84024186,78.15044074,7.02308889,0.45558724,0.38252625,0.37157518,0.71315105,0.71324439,3.6605263,0.95924924,1.04677751,-2.3257141,15.3049,11.8723,714.21,1206.889,22.39418072,13.27060209,12.9465396,17189.90098,-4487.140712,4.3128,4.4348,4.4452,4.5824,4.6078,4.6495,4.7507,4.8167,4.8331,4.8432,4.8571,4.9426,4.9517,4.9924,5.0017,5.01,5.0203,5.0265,5.0342,5.1078,5.1775,5.1871,5.2266,5.2813,5.282,5.2908,5.3256,5.3925,5.4066,5.4409,0.231867928,0.225489312,0.224961757,0.218226257,0.217023308,0.21507689,0.210495295,0.20761102,0.20690654,0.206475058,0.20588417,0.202322664,0.201950845,0.200304463,0.199932023,0.199600798,0.199191283,0.198945588,0.198641294,0.195779005,0.193143409,0.19278595,0.191328971,0.18934732,0.189322226,0.189007333,0.18777227,0.185442745,0.184959124,0.183793122
2274,2274,6.164948258,2274,kampo_2591,73111,Sennoside A,C1=CC2=C(C(=C1)OC3C(C(C(C(O3)CO)O)O)O)C(=O)C4=C(C2C5C6=C(C(=CC=C6)OC7C(C(C(C(O7)CO)O)O)O)C(=O)C8=C5C=C(C=C8O)C(=O)O)C=C(C=C4O)C(=O)O,54.02595182,66.10224946,92.4723089,40.84600139,81.39222339,8.53963466,0.39617202,0.31672651,1.39985139,0.40137612,0.35139713,3.73023435,0.5918904,0.80134653,-1.12376722,3.756,3.1299,503.087,862.746,21.07675565,11.22457284,7.825350278,10164.53938,-3126.737782,3.3191,3.4623,4.0059,4.1434,4.5521,4.6946,4.7533,4.7875,4.811,4.8269,4.8679,4.9271,5.1547,5.301,5.3999,5.5017,5.5312,5.5644,5.627,5.6845,5.7081,5.7774,5.8177,5.8316,5.8838,5.9413,5.9684,6.0109,6.023,6.0476,0.301286493,0.288825347,0.249631793,0.241347685,0.21967883,0.213010693,0.210380157,0.208877285,0.207856994,0.207172305,0.205427392,0.202959144,0.193997711,0.188643652,0.185188615,0.181762001,0.180792595,0.179713895,0.17771459,0.175916967,0.175189643,0.17308824,0.171889235,0.171479525,0.16995819,0.168313332,0.167549092,0.166364438,0.166030217,0.165354852
1722,1722,6.098666714,1722,kampo_1963,5318993,Licoagrone,CC(=CCC1=CC2=C(C=C1O)OC(C2=O)(C3=CC(=C(C=C3C=C4C(=O)C5=C(O4)C(=C(C=C5)O)CC=C(C)C)O)O)C(=O)C6=CC(=C(C=C6)O)CC=C(C)C)C,71.76873129,52.50411078,92.87543202,42.4495232,75.27262637,7.47821137,0.50382146,0.42605677,0.53362947,0.33121936,0.35294,3.1456754,1.30389479,1.47554205,-0.95554773,7.5567,5.7431,525.81,742.821,18.73362277,13.39996348,11.86482275,7830.357991,-2491.316038,3.3533,3.6902,3.8457,4.0636,4.2161,4.4264,4.5531,4.7226,4.8031,4.9181,4.9327,5.0029,5.0367,5.0802,5.2231,5.2442,5.2845,5.3467,5.4039,5.4411,5.4681,5.5129,5.5383,5.5922,5.6212,5.6665,5.7623,5.8034,5.8494,5.8884,0.2982137,0.270988022,0.260030684,0.246087213,0.237186025,0.225917224,0.219630581,0.211747766,0.208198872,0.203330554,0.202728729,0.199884067,0.198542697,0.196842644,0.191457181,0.190686854,0.189232662,0.187031253,0.185051537,0.183786367,0.182878879,0.181392733,0.180560822,0.1788205,0.177897958,0.176475779,0.173541815,0.172312782,0.170957705,0.169825419
482,482,6.04447148,482,kampo_0547,6440013,4-Coumaroyl-CoA,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC=C(C=C4)O)O,30.91445614,30.34999464,92.13994937,34.26234126,79.18336572,8.22503631,0.39960469,1.19530331,0.12661768,0.86057236,0.8786625,3.68873295,1.47879159,2.12038887,-1.30698759,2.9386,3.2914,525.621,913.678286,21.78401599,10.77486545,10.44891329,10801.82768,-4327.188069,3.9354,4.8048,4.8742,5.1804,5.3313,5.4625,5.4653,5.5064,5.6349,5.8002,5.8885,6.0228,6.0742,6.1668,6.2535,6.3485,6.3876,6.4258,6.5709,6.6015,6.696,6.7654,6.8309,6.8992,6.925,7.0101,7.0318,7.0545,7.0811,7.0874,0.254103776,0.208125208,0.205161873,0.193035287,0.187571512,0.183066362,0.182972572,0.181606857,0.177465439,0.172407848,0.169822535,0.166035731,0.164630733,0.162158656,0.15991045,0.157517524,0.156553322,0.155622646,0.152186154,0.151480724,0.149342891,0.14781092,0.146393594,0.144944341,0.144404332,0.142651317,0.142211098,0.141753491,0.141220997,0.141095465
2054,2054,5.990983169,2054,kampo_2332,5320384,Palmidin A,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2C4C5=C(C(=CC=C5)O)C(=O)C6=C4C=C(C=C6O)CO)C=C(C=C3O)O,46.23245046,55.33906963,92.5612064,35.53061861,78.90261706,7.92513545,0.41021262,0.33400849,0.89664843,0.27807329,0.30666742,3.63909845,1.0621705,1.1887158,-0.54026488,3.2607,3.093,341.253,510.498,12.86650354,11.43440791,7.434295394,4435.597964,-1757.670705,3.8299,3.9563,4.0078,4.1159,4.2462,4.2536,4.3785,4.5771,4.6373,4.8262,4.9228,5.0688,5.122,5.1849,5.2935,5.5872,5.6187,5.6511,5.6745,5.7219,5.8301,5.9194,6.013,6.0411,6.1057,6.1316,6.2212,6.253,6.2957,6.3186,0.261103423,0.252761418,0.249513449,0.242960227,0.235504687,0.235094978,0.228388718,0.21847895,0.215642723,0.207202354,0.203136426,0.197285354,0.195236236,0.192867751,0.188910928,0.178980527,0.177977112,0.176956699,0.17622698,0.174767123,0.171523645,0.168936041,0.166306336,0.165532767,0.163781385,0.163089569,0.160740693,0.159923237,0.158838572,0.158262906
1023,1023,5.983734983,1023,kampo_1179,73644,Casuarictin,C1C2C(C3C(C(O2)OC(=O)C4=CC(=C(C(=C4)O)O)O)OC(=O)C5=CC(=C(C(=C5C6=C(C(=C(C=C6C(=O)O3)O)O)O)O)O)O)OC(=O)C7=CC(=C(C(=C7C8=C(C(=C(C=C8C(=O)O1)O)O)O)O)O)O,57.16199947,39.80706321,91.44973018,54.63620049,77.24145997,7.63347625,0.33388305,0.32862806,-0.05437029,0.38543619,0.34489316,3.58148297,0.60805319,0.50503126,-1.55001284,5.0632,6.9614,530.12,936.649,17.30373602,16.47218452,10.82239577,11059.54237,-3533.800323,4.5631,4.5755,4.7997,4.8779,4.8951,4.9216,4.9391,5.0351,5.0496,5.0955,5.1903,5.2042,5.211,5.2441,5.444,5.5371,5.596,5.6177,5.6757,5.7059,5.782,5.7939,5.8246,5.9615,5.9757,6.0402,6.0968,6.1321,6.1394,6.1519,0.219149263,0.218555349,0.208346355,0.205006253,0.204285919,0.203185956,0.202466036,0.198605787,0.198035488,0.196251595,0.192667091,0.192152492,0.191901746,0.19069049,0.183688464,0.180599953,0.178699071,0.178008794,0.176189721,0.17525719,0.172950536,0.172595316,0.171685609,0.167743018,0.167344412,0.165557432,0.16402047,0.163076271,0.162882366,0.162551407
675,675,5.93010938,675,kampo_0759,467312,"8-((5,7-Dihydroxy-2-(3,4,5-trihydroxyphenyl)-3-(3,4,5-trihydroxyphenylcarbonyloxy)chroman-8-yl)methyl)-5,7-dihydroxy-2-(3,4,5-trihydroxyphenyl)chroman-3-yl 3,4,5-trihydroxybenzoate",C1C(C(OC2=C1C(=CC(=C2CC3=C(C=C(C4=C3OC(C(C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)C6=CC(=C(C(=C6)O)O)O)O)O)O)O)C7=CC(=C(C(=C7)O)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,43.79483336,15.22711259,91.34148559,37.7763725,77.35797972,7.55659755,0.4401371,0.36918578,-0.45549853,0.75622443,0.68179119,3.61743523,0.51991976,0.56556784,-1.36713152,5.1634,3.3738,575.975,928.761,22.11876917,11.02459429,10.99413822,10881.27086,-3390.230404,4.9295,4.9368,5.0682,5.1148,5.1384,5.202,5.2389,5.2557,5.2802,5.2863,5.4645,5.4654,5.6453,5.6518,5.7991,5.8154,5.8465,5.9784,6.038,6.043,6.1419,6.157,6.2264,6.287,6.3003,6.3082,6.3217,6.3427,6.3911,6.3985,0.202860331,0.202560363,0.197308709,0.195511066,0.194613109,0.192233756,0.190879765,0.190269612,0.189386766,0.189168227,0.18299936,0.182969225,0.177138505,0.176934782,0.172440551,0.171957217,0.171042504,0.167268834,0.165617754,0.165480721,0.162816067,0.162416761,0.16060645,0.159058374,0.158722601,0.158523826,0.158185298,0.157661564,0.156467588,0.15628663
969,969,5.928805947,969,kampo_1123,6119622,Caffeoyl-coenzyme A,CC(C)(COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)C(C(=O)NCCC(=O)NCCSC(=O)C=CC4=CC(=C(C=C4)O)O)O,21.65883496,23.40286251,92.45554052,27.83032314,78.1859655,7.88456412,0.47785291,0.7769067,-0.27293449,0.67360694,1.35057009,3.60607437,2.03671831,1.52706744,-1.37549455,8.3905,7.8426,583.472,929.677286,16.95744511,16.92886317,9.124428446,11443.75154,-4402.394677,4.3369,4.8624,5.0462,5.3668,5.4152,5.5096,5.5337,5.6432,5.652,5.6712,5.9476,5.9708,6.067,6.1503,6.1974,6.2318,6.3956,6.5877,6.7258,6.8513,6.8608,6.9223,6.9239,6.9684,6.9906,7.0726,7.0983,7.0986,7.1358,7.1402,0.230579446,0.205659756,0.198168919,0.186330774,0.184665386,0.181501379,0.180710917,0.177204423,0.176928521,0.176329525,0.168135046,0.167481744,0.164826108,0.162593695,0.161357989,0.160467281,0.156357496,0.151798048,0.148681198,0.145957701,0.145755597,0.144460656,0.144427274,0.143504965,0.143049238,0.141390719,0.140878802,0.140872848,0.140138457,0.140052099
2142,2142,5.925542593,2142,kampo_2437,3086518,"Procyanidin B-5 3,3'-di-O-gallate",C1C(C(OC2=C1C(=C(C(=C2)O)C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)OC(=O)C6=CC(=C(C(=C6)O)O)O)O)C7=CC(=C(C=C7)O)O)OC(=O)C8=CC(=C(C(=C8)O)O)O,37.14423445,43.38679436,92.56140739,44.00305805,80.13747404,7.28601246,0.41737347,0.37998882,-0.64813255,0.51034148,0.75516456,3.5868215,0.43469762,0.46445095,-1.49575792,4.5578,8.3957,560.834,882.736,23.77529937,11.87708529,11.05437902,9387.577764,-3200.515281,4.8697,4.9338,5.0396,5.1539,5.2575,5.272,5.2738,5.2802,5.3101,5.3626,5.7852,5.7934,5.8222,5.9924,6.0063,6.0134,6.03,6.084,6.0917,6.1076,6.1612,6.1716,6.1985,6.2269,6.2479,6.2511,6.2866,6.2932,6.3279,6.38,0.205351459,0.20268353,0.198428447,0.194027824,0.19020447,0.189681335,0.189616595,0.189386766,0.188320371,0.186476709,0.172854871,0.172610212,0.171756381,0.166878046,0.16649185,0.166295274,0.165837479,0.164365549,0.164157788,0.163730434,0.162306044,0.162032536,0.161329354,0.160593554,0.160053778,0.159971845,0.159068495,0.158901672,0.15803031,0.156739812
