comp_name,ChEMBL ID,Smiles,IC50(nM),IC50(M),pIC50,rUV,rex,rorb,rIR,rfreq,IPv,C-S0,S0-C,EAv,A-S0,S0-A,STv,T1-S0,S0-T1,Esolv,mu,T_mu,Vmol,B1,B2,B3,ca_B1,ca_B2,ca_B3,an_B1,an_B2,an_B3,tri_B1,tri_B2,tri_B3,MW,nuclear_repulsion_energy,E0,dE1,dE2,dE3,dE4,dE5,dE6,dE7,dE8,dE9,dE10,dE11,dE12,dE13,dE14,dE15,dE16,dE17,dE18,dE19,dE20,dE21,dE22,dE23,dE24,dE25,dE26,dE27,dE28,dE29,dE30,1/dE1,1/dE2,1/dE3,1/dE4,1/dE5,1/dE6,1/dE7,1/dE8,1/dE9,1/dE10,1/dE11,1/dE12,1/dE13,1/dE14,1/dE15,1/dE16,1/dE17,1/dE18,1/dE19,1/dE20,1/dE21,1/dE22,1/dE23,1/dE24,1/dE25,1/dE26,1/dE27,1/dE28,1/dE29,1/dE30
comp_001,CHEMBL4576254,C=C(C)C(COc1c2ccoc2cc2oc(=O)ccc12)OC(C)(C)C(O)COc1c2occc2c(OC)c2ccc(=O)oc12,8800,8.80E-06,5.055517328,35.37376453,27.38127558,92.37694403,58.52490484,75.5246058,7.90488094,0.38642966,0.80950901,0.37892514,0.19152489,0.16765486,3.47042318,0.42607745,0.73614897,-0.74012396,10.9873,9.3958,404.726,20.12603778,10.49211428,7.748102886,20.266173,9.771291901,9.210640619,20.31909738,10.75802303,7.465455967,21.19824568,10.54786309,8.072314728,602.592,5250.595551,-2102.164453,4.2785,4.3017,4.6366,4.6856,4.8456,4.8737,5.3665,5.4788,5.5877,5.6529,5.6944,5.7786,5.8079,6.1311,6.1811,6.2472,6.3456,6.3588,6.3718,6.42,6.571,6.6199,6.6691,6.7496,6.7655,6.7929,6.7995,6.8147,6.8537,6.8732,0.233726773,0.232466234,0.215675279,0.21341984,0.206372792,0.205182921,0.186341191,0.18252172,0.178964511,0.176900352,0.175611127,0.173052296,0.172179273,0.163102869,0.161783501,0.160071712,0.157589511,0.157262377,0.156941524,0.15576324,0.152183838,0.151059684,0.14994527,0.148156928,0.147808735,0.147212531,0.147069637,0.146741603,0.145906591,0.145492638
comp_002,CHEMBL4516633,O=C(Cn1nnc2ccccc21)c1cccc(Cl)c1Cl,3470,3.47E-06,5.459670525,9.488821152,27.50006656,90.24871098,37.09268264,81.57868266,8.6459562,0.25521387,0.37168783,0.52233147,0.39607352,0.42127607,3.97873364,0.56519587,0.56607097,-0.39263323,5.9947,6.55,189.829,14.32263206,8.102717773,5.724393611,14.28991944,7.079832161,6.348327063,11.49329297,8.237929917,7.059688978,14.39606711,8.111009601,5.635915638,306.146,1676.086138,-1698.379421,3.8154,4.8662,4.9263,5.1695,5.2005,5.3682,5.5673,5.663,6.1839,6.2261,6.2533,6.4091,6.4645,6.7568,6.7851,6.8248,6.8392,6.8555,6.9442,6.9509,7.0627,7.0923,7.2581,7.3809,7.4321,7.4356,7.4715,7.4957,7.5555,7.5902,0.262095717,0.205499157,0.202992104,0.193442306,0.192289203,0.18628218,0.179620283,0.176584849,0.161710248,0.160614189,0.159915565,0.156028147,0.154691005,0.147999053,0.147381763,0.14652444,0.146215932,0.145868281,0.144005069,0.143866262,0.141588911,0.140997984,0.137777104,0.135484832,0.134551473,0.134488138,0.133841933,0.133409822,0.132353914,0.131748834
comp_004,CHEMBL4453302,Cc1cccc2nc(-c3ccccc3Cl)[nH]c12,5300,5.30E-06,5.27572413,14.29483591,11.89391974,89.88171025,32.3868104,79.68874705,7.8034386,0.2187982,0.23106492,-0.2673195,0.22931607,0.24541764,3.76273054,0.61953732,0.67446681,-0.23763393,2.1872,2.512,174.296,13.1199847,8.34157396,4.144874953,13.07844746,8.379068613,4.151354378,13.19890493,8.324456677,4.135807321,13.09839581,8.347104693,4.155354022,242.706,1204.579096,-1109.558233,4.5993,4.9413,5.1381,5.604,5.8222,6.0473,6.3577,6.3734,6.3959,6.4254,6.7051,6.9709,7.0098,7.132,7.2603,7.2988,7.392,7.491,7.5316,7.613,7.7996,7.8504,7.9547,7.974,8.1136,8.139,8.152,8.1941,8.2132,8.2367,0.217424391,0.202375893,0.194624472,0.178443969,0.171756381,0.165363055,0.157289586,0.156902124,0.156350162,0.155632334,0.149140207,0.1434535,0.142657422,0.140213124,0.137735355,0.137008823,0.135281385,0.133493526,0.132773913,0.131354262,0.128211703,0.127382044,0.125711843,0.125407575,0.123249852,0.122865217,0.122669284,0.122039028,0.121755223,0.121407845
comp_005,CHEMBL4593597,O=C1NC(=O)/C(=C/c2ccc(-c3nc4ccccc4n3Cc3ccc(Cl)cc3)cc2)S1,540,5.40E-07,6.26760624,33.26238297,39.00939541,92.16127258,53.81446239,85.33033301,7.99448295,0.17523503,0.51514504,0.91460824,0.31899972,0.44309195,3.06004293,2.74468268,0.94913192,-0.52030479,2.3619,2.6651,295.389,17.71941864,9.399455282,7.133039812,16.05543545,13.06028225,6.88003891,15.10882833,12.00992001,7.734133921,17.24917936,10.15455452,7.576346672,445.921,3182.809475,-2096.79145,4.0624,4.4839,4.6539,4.7496,4.8904,5.1346,5.3025,5.3361,5.3869,5.4221,5.5874,5.6569,5.7161,5.7737,5.8064,5.8362,5.9331,6.0315,6.1271,6.176,6.1835,6.3408,6.3707,6.404,6.5058,6.5286,6.5911,6.6279,6.6705,6.7125,0.246159905,0.223020139,0.214873547,0.210544046,0.204482251,0.194757138,0.188590288,0.187402785,0.185635523,0.184430387,0.17897412,0.176775266,0.174944455,0.173199162,0.172223753,0.171344368,0.168545954,0.165796236,0.163209349,0.161917098,0.161720708,0.157708806,0.156968622,0.156152405,0.153708998,0.153172196,0.151719743,0.150877352,0.1499138,0.148975791
comp_006,CHEMBL4460212,Clc1ccc(CSc2nc(-c3ccc(Br)cc3)cc(-c3ccc(Br)cc3)n2)cc1,19000,1.90E-05,4.721246399,52.15252612,33.34094394,87.69139554,24.48343162,80.60951826,8.24819587,0.37995508,0.27913179,0.78333475,0.19511946,0.23033757,3.78227784,0.54262353,0.52122262,-0.32537389,2.9326,4.6563,323.202,17.07786093,16.12475795,6.598700936,15.95445811,13.37772256,8.70870341,16.99461949,16.29340813,6.533669549,17.15875849,16.12186247,6.570016346,546.705,3440.708871,-6996.503886,4.2489,4.3621,4.8922,5.003,5.119,5.1286,5.1801,5.1946,5.4269,5.4891,5.5814,5.6244,5.7841,5.9093,5.9952,5.9996,6.0744,6.147,6.1634,6.1983,6.2415,6.3975,6.4126,6.4213,6.4413,6.5431,6.5591,6.5822,6.6198,6.648,0.235355033,0.229247381,0.204407015,0.199880072,0.195350654,0.194984986,0.193046466,0.192507604,0.184267261,0.182179228,0.179166517,0.177796743,0.172887744,0.169224781,0.166800107,0.166677779,0.164625313,0.162680983,0.16224811,0.161334559,0.160217896,0.156311059,0.155942987,0.155731705,0.155248164,0.152832755,0.152459941,0.151924888,0.151061966,0.150421179
comp_007,CHEMBL4460633,Clc1cccc(-c2[nH]c3ccccc3c2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccccc2)c1,8300,8.30E-06,5.080921908,39.70055171,44.43913485,92.03801391,35.08227895,80.11017556,6.76915584,0.2746632,0.27839465,-0.2420081,0.34608745,0.36457923,3.47492061,0.84068466,0.76584325,-0.45769663,3.5888,2.3008,362.357,14.61064089,12.1658232,9.149612143,13.56555447,12.87955976,9.272684896,14.42223004,12.2427706,8.751852271,14.28754445,12.64221069,8.867559013,522.048,4331.748251,-1972.068548,4.148,4.4989,4.8318,4.8749,4.8896,5.0468,5.1156,5.2435,5.311,5.3775,5.4348,5.5087,5.557,5.6134,5.6775,5.7936,5.8332,5.8742,5.9576,5.9757,6.0474,6.0948,6.1233,6.1592,6.1805,6.2153,6.2334,6.2664,6.2994,6.3766,0.241080039,0.222276556,0.206962209,0.205132413,0.204515707,0.198145359,0.195480491,0.19071231,0.188288458,0.185960019,0.183999411,0.181531033,0.179953212,0.178145153,0.176133862,0.172604253,0.17143249,0.170235947,0.167852827,0.167344412,0.16536032,0.164074293,0.163310633,0.162358748,0.161799207,0.160893279,0.160426092,0.159581259,0.158745277,0.156823386
comp_008,CHEMBL4580728,O=C(Cn1cc(COc2cc(O)c3c(=O)c4cc(Br)ccc4oc3c2)nn1)Nc1ccc(O)c(O)c1,3170,3.17E-06,5.498940738,30.91203767,28.27720974,92.68051673,48.09406871,83.17967073,7.69774972,0.44086581,0.36806061,0.48930901,0.32640247,0.3611569,3.70807888,0.29919718,0.27859655,-0.67222734,5.6718,6.2181,340.02,24.28116501,8.205350795,7.625440854,23.79063333,8.177671445,7.802030231,22.29519848,9.43406133,7.713450902,24.25563047,8.21347074,7.623023699,553.325,3863.178471,-4241.52759,4.1234,4.2135,4.742,4.8841,5.0864,5.139,5.2412,5.4291,5.5113,5.7004,5.8606,5.8777,5.9157,5.9447,6.096,6.1429,6.2782,6.3764,6.3957,6.4366,6.5303,6.5439,6.5763,6.6065,6.6387,6.6691,6.6967,6.7547,6.8086,6.8109,0.24251831,0.237332384,0.210881485,0.204746013,0.196602705,0.194590387,0.190796001,0.184192592,0.181445394,0.175426286,0.170630993,0.170134576,0.169041703,0.168217067,0.164041995,0.162789562,0.159281323,0.156828304,0.156355051,0.155361526,0.153132322,0.152814071,0.152061189,0.151366079,0.150631901,0.14994527,0.149327281,0.148045065,0.146873072,0.146823474
comp_009,CHEMBL4476560,COc1ccc(NC(=O)Cn2cc(COc3cc(OC(C)=O)c4c(=O)c5ccc(Br)cc5oc4c3)nn2)cc1OC,26110,2.61E-05,4.583193128,32.7390451,36.79812374,92.06719064,46.02360534,78.84816009,7.3476666,0.41390189,0.40560172,0.52658754,0.19666233,0.19550477,3.89701792,0.43004128,0.36903231,-0.71889638,2.0355,2.2378,365.693,21.7877091,11.3309342,10.19636679,23.9490345,12.48762071,8.05930915,22.95409448,12.17473001,8.803541037,21.99652616,11.18546882,10.11755228,623.416,4683.665166,-4472.668271,3.8676,4.5498,4.8349,4.8612,5.0261,5.2111,5.2655,5.3309,5.4022,5.5889,5.6905,5.8165,5.9003,6.0262,6.0434,6.0553,6.0613,6.2804,6.3104,6.3917,6.4031,6.4138,6.4775,6.5309,6.5504,6.555,6.6286,6.6801,6.6907,6.6999,0.258558279,0.219789881,0.20682951,0.205710524,0.198961421,0.191898064,0.189915488,0.187585586,0.18510977,0.178926086,0.175731482,0.171924697,0.169482908,0.165942053,0.165469769,0.165144584,0.16498111,0.159225527,0.15846856,0.1564529,0.156174353,0.155913811,0.154380548,0.153118253,0.152662433,0.152555301,0.150861419,0.149698358,0.149461192,0.149255959
comp_010,CHEMBL4451810,O=C(c1ccc(F)cc1)n1nnc2ccccc21,2820,2.82E-06,5.549750892,20.55358719,27.78995334,91.75306335,33.38740152,81.90229849,9.025292425,0.30893734,0.215500017,0.340377555,0.220123112,0.296188088,3.987263285,0.88277635,0.74862895,-0.222010004,1.6879,3.8303,160.728,14.26162805,7.008915278,4.241218242,14.16891809,7.044743422,4.325550873,14.38531913,7.118764403,3.401399231,14.36504617,7.062792125,3.909750129,241.2254032,1188.685388,-839.1774872,4.4959,4.7956,4.8695,5.3019,5.368,5.44,5.8313,6.081,6.3544,6.4735,6.6204,6.7565,6.9589,7.0291,7.166,7.1865,7.2158,7.2424,7.2686,7.3111,7.5412,7.6769,7.7178,7.7637,7.7867,7.8066,7.8754,7.9546,7.9971,8.0447,0.222424876,0.208524481,0.205359893,0.18861163,0.186289121,0.183823529,0.171488347,0.164446637,0.15737127,0.15447594,0.151048275,0.148005624,0.143700872,0.142265724,0.139547865,0.139149795,0.138584772,0.138075776,0.137578076,0.136778323,0.13260489,0.130260913,0.129570603,0.128804565,0.128424108,0.128096739,0.126977677,0.125713424,0.125045329,0.124305443
comp_011,CHEMBL1253491,COc1ccccc1C(=O)n1nnc2ccccc21,4790,4.79E-06,5.319664487,13.23017762,22.45068339,90.33119209,33.64845787,81.15186752,8.478425475,0.312060945,0.293031775,0.034125696,0.308280357,0.307296598,3.976299103,0.754325573,0.624522681,-0.286145161,1.6131,3.5057,182.6,13.19541476,8.426470031,5.410837426,13.14169413,8.345691107,5.689150827,13.40959308,8.40645862,4.90706563,13.28474067,8.440629885,5.415650686,253.261,1365.452393,-854.4502092,4.4446,4.6671,4.8874,4.9683,5.4234,5.5325,5.7747,5.9932,6.1426,6.2784,6.6096,6.7109,6.8057,6.9093,6.9778,7.0283,7.1438,7.2545,7.2991,7.3535,7.5359,7.5948,7.6322,7.6435,7.7588,7.8078,7.8518,7.8967,7.9493,7.9995,0.224992125,0.214265818,0.204607767,0.20127609,0.184386178,0.180750113,0.173169169,0.16685577,0.162797512,0.159276249,0.151295086,0.14901131,0.146935657,0.144732462,0.143311646,0.142281917,0.139981522,0.137845475,0.137003192,0.135989665,0.132698152,0.131669037,0.13102382,0.130830117,0.12888591,0.128077051,0.127359332,0.126635177,0.12579724,0.125007813
