comp_name,ChEMBL ID,Smiles,IC50(nM),IC50(M),pIC50,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_ketone,fr_ketone_Topliss,fr_lactone,fr_methoxy,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_piperdine,fr_piperzine,fr_pyridine,fr_sulfide,fr_sulfonamd,fr_term_acetylene,fr_thiazole,fr_thiophene,fr_unbrch_alkane
comp_001,CHEMBL4576254,C=C(C)C(COc1c2ccoc2cc2oc(=O)ccc12)OC(C)(C)C(O)COc1c2occc2c(OC)c2ccc(=O)oc12,8800,8.80E-06,5.055517328,12.09295274,12.09295274,0.033881066,-1.158000658,0.138541147,602.592,572.352,602.1788118,228,0.335830181,-0.495204458,0.495204458,0.335830181,0.818181818,1.454545455,2.204545455,16.56308147,10.00812661,2.340105596,-2.346025765,2.427148552,-2.462391321,6.063388565,-0.140280268,3.660195698,1.227324995,2125.184512,31.17263315,24.5018698,24.5018698,21.06771913,13.79052862,13.79052862,10.92144931,10.92144931,7.475844977,7.475844977,5.036941211,5.036941211,-5,8760563308,29.08884298,11.25043253,5.203125,249.3096667,41.72258296,48.08676065,11.16604028,5.749511833,0,11.25117264,0,9.589074368,0,0,6.578935684,50.6097844,18.19910121,46.7820712,41.72258296,43.87697742,0,0,0,38.58019519,20.32356147,87.98318269,17.2485355,25.4617615,0,17.2485355,0,43.23907245,4.736862954,0,20.7712116,94.4006138,0,43.87697742,143.85,29.06015622,14.69560176,0,24.5462959,55.36608548,0,31.76885767,51.10304694,0,6.578935684,36.61605556,46.18489746,0,23.90715416,13.68317786,-0.320336834,1.079760668,10.94010903,1.186456309,9.080911255,1.50787008,0.272727273,44,1,11,0,0,0,2,4,6,11,1,11,11,0,0,0,6,5.959,161.8268,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp_002,CHEMBL4516633,O=C(Cn1nnc2ccccc21)c1cccc(Cl)c1Cl,3470,3.47E-06,5.459670525,12.29708318,12.29708318,0.070015432,-0.159117536,0.694355479,306.152,297.08,305.0122673,100,0.185412379,-0.29201531,0.29201531,0.185412379,1.1,1.9,2.75,35.4982618,10.12210995,2.146259635,-2.050503628,2.258475749,-2.119270327,6.434463241,0.096839179,2.851363367,1.947652795,797.9682818,14.1125197,10.25437669,11.76623458,9.664703798,5.920450575,6.676379521,4.260360936,5.045525536,2.965611595,3.784514165,1.974476999,2.380395633,-1.91,57956.8118,13.09069845,5.228374748,2.279619751,124.4634356,0,12.06145712,5.783244946,0,0,0,4.794537184,4.681802935,0,5.098681808,46.61436608,24.26546827,5.563451492,15.56196735,4.794537184,40.01852616,0,14.99386984,0,6.544756406,0,58.0732876,0,0,0,0,23.20187978,20.77711479,6.544756406,0,10.35798868,42.46456948,10.04526663,11.03340144,47.78,0,4.794537184,0,17.35063467,10.58608481,11.03340144,0,22.88090414,24.26546827,10.3120669,23.20187978,1.550496347,11.96430659,12.29708318,8.61892446,1.940036411,-0.159117536,12.44047734,0,0.070015432,0,0.071428571,20,0,4,0,0,0,2,1,3,4,0,6,3,0,0,0,3,3.621,78.3205,0,0,0,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comp_004,CHEMBL4453302,Cc1cccc2nc(-c3ccccc3Cl)[nH]c12,5300,5.30E-06,5.27572413,6.166126386,6.166126386,0.712230726,0.712230726,0.681025897,242.709,231.621,242.061076,84,0.139504893,-0.33768796,0.33768796,0.139504893,1.058823529,1.882352941,2.647058824,35.49569142,10.18805479,2.083927989,-1.98071475,2.273153071,-1.805991276,6.327405907,1.329683661,2.746120095,2.258419141,685.5049998,11.82806265,9.366629953,10.1225589,8.254020195,5.457563037,5.83552751,4.034293011,4.441493137,2.85543171,3.185019931,1.955680077,2.180916725,-1.8,14290.80897,10.36008653,3.896145125,1.705778667,104.2671786,4.983978521,5.824404498,0,0,0,0,0,4.983978521,0,0,35.86640816,30.6862899,5.563451492,16.05603475,0,22.63434133,0,9.967957042,0,6.9237372,0,53.05065428,11.38785599,0,0,0,11.60093989,9.967957042,0,6.9237372,5.563451492,42.46456948,5.022633314,22.42125742,28.68,0,0,0,0,5.022633314,22.42125742,5.563451492,0,36.39820241,22.95806131,11.60093989,0,6.166126386,7.890046296,0.712230726,4.167046013,0.819351852,13.78994693,0,2.066362906,0,0.071428571,17,1,2,0,0,0,2,1,3,1,1,3,1,0,0,0,3,4.19172,71.2767,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comp_005,CHEMBL4593597,O=C1NC(=O)/C(=C/c2ccc(-c3nc4ccccc4n3Cc3ccc(Cl)cc3)cc2)S1,540,5.40E-07,6.26760624,11.77348795,11.77348795,0.343715698,-0.357561411,0.407328343,445.931,429.803,445.0651754,152,0.290425139,-0.319470146,0.319470146,0.290425139,0.967741935,1.709677419,2.419354839,35.49569225,10.10572202,2.244719324,-2.101081115,2.286419702,-2.173157091,8.180777796,-0.114852086,3.291568392,1.521851376,1341.77448,21.37166824,16.20979682,17.78222234,15.06368328,9.617122114,10.81158317,7.110976262,8.562153405,5.017178047,6.079771579,3.529156308,4.337346063,-3.35,20191902.47,19.60388443,8.056912666,3.997000887,187.294595,4.567099648,5.824404498,0,0,11.14639144,0,14.90586297,4.983978521,0,0,60.13187644,53.23027631,17.13084121,15.93853795,9.589074368,51.61863782,0,14.86786677,0,6.544756406,0,93.85107763,11.38785599,5.316788604,4.794537184,0,23.36282484,20.69746961,11.33929359,0,11.12690298,77.70154134,5.022633314,28.49727753,63.99,0,9.589074368,0,11.14639144,16.47252623,45.31004536,0,6.076020107,66.73003775,15.95025532,16.58491841,2.185493477,6.951823769,28.38613003,2.633126274,4.915605545,0.502174957,23.65867433,1.713657411,0.664425317,0,0.041666667,31,1,5,0,1,1,3,1,4,5,1,7,4,0,1,1,5,5.7289,124.8297,0,0,0,0,2,0,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,0,2,0,0,0,3,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
comp_006,CHEMBL4460212,Clc1ccc(CSc2nc(-c3ccc(Br)cc3)cc(-c3ccc(Br)cc3)n2)cc1,19000,1.90E-05,4.721246399,5.99006141,5.99006141,0.740518887,0.740518887,0.186070808,546.715,531.595,543.9011214,144,0.188511508,-0.222466269,0.222466269,0.188511508,0.689655172,1.172413793,1.655172414,79.91976185,10.08274312,2.098713792,-2.091417785,2.295024788,-1.948024908,9.10449269,0.977664342,2.740526655,1.693695855,1051.440324,20.2169677,15.14922918,19.89364779,14.06368328,8.849178455,11.79873803,6.349926738,9.560212217,4.266794672,6.49454599,2.75526341,4.223929075,-1.66,4928738.53,20.60624687,9.434682384,5.48467497,195.5683953,0,0,5.156436482,0,0,0,0,9.967957042,0,0,91.62091505,48.02802097,30.84782894,11.38785599,0,55.22271264,0,9.967957042,0,10.90929009,0,98.39429573,22.51475897,0,0,0,55.22271264,9.967957042,5.752853607,0,5.563451492,92.9646474,5.022633314,22.51475897,25.78,0,0,0,0,0,47.39212141,5.563451492,11.76188495,54.59730362,56.12535607,21.56889693,2.08477043,14.60054705,9.620448126,1.488933239,5.111014259,0.778509805,26.26022154,0,0,0,0.043478261,29,0,2,0,0,0,3,1,4,3,0,6,5,0,0,0,4,8.2813,129.317,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
comp_007,CHEMBL4460633,Clc1cccc(-c2[nH]c3ccccc3c2-c2nc(-c3ccccc3)c(-c3ccccc3)n2-c2ccccc2)c1,8300,8.30E-06,5.080921908,6.473677617,6.473677617,0.693015284,0.693015284,0.240100612,522.051,497.859,521.1658754,186,0.14809162,-0.353905539,0.353905539,0.14809162,0.58974359,1.205128205,1.923076923,35.49569231,10.0358161,2.262096855,-2.142711106,2.437823164,-2.004212074,6.304924826,1.075871548,3.576468252,1.642896937,1902.610593,26.18322303,21.05144786,21.8073768,19.27598958,12.93778451,13.31574898,9.466565086,9.903000866,7.029234577,7.26433168,5.310648218,5.500936066,-4.86,2408945356,23.27093262,9.787721616,4.136600958,231.5497452,4.983978521,5.824404498,0,0,0,0,4.567099648,4.983978521,0,0,120.7955471,30.33183534,38.303299,22.64523548,0,22.50386482,0,14.53505669,0,0,0,144.5490759,50.84738072,0,0,0,11.60093989,14.53505669,0,0,0,139.5264426,5.022633314,61.75030566,33.61,0,0,0,0,5.022633314,61.75030566,0,0,36.39820241,112.6793183,16.58491841,2.292983277,6.473677617,9.125487528,1.798459718,9.276691285,0.866973734,47.77683795,0,0,0,0,39,1,3,0,0,0,5,2,7,2,1,4,5,0,0,0,7,9.675,162.1747,0,0,0,0,3,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
comp_008,CHEMBL4580728,O=C(Cn1cc(COc2cc(O)c3c(=O)c4cc(Br)ccc4oc3c2)nn1)Nc1ccc(O)c(O)c1,3170,3.17E-06,5.498940738,12.83058521,12.83058521,0.024642434,-0.424819795,0.139892244,553.325,536.189,552.028061,182,0.245671465,-0.506892732,0.506892732,0.245671465,1.027777778,1.861111111,2.666666667,79.91873138,10.11577269,2.147473794,-2.079736032,2.314162529,-2.186236382,9.103027393,-0.116477797,3.272541685,1.277332075,1696.092216,25.39661227,18.30460519,19.89060173,17.26206059,10.49368214,11.28668041,7.835006933,8.750682461,5.225673755,5.718925394,3.578071881,3.939157142,-4.58,150168177.3,23.17541322,9.226495603,4.658553891,209.8405992,29.79038468,46.89685453,11.49902367,11.33597012,0,0,9.589074368,4.681802935,0,5.098681808,21.14332899,30.33183534,28.359207,11.58306779,29.26813326,49.46299861,0,14.99386984,0,13.15163837,5.316788604,75.11775521,22.99804733,15.48244195,5.687386275,22.99804733,15.9299439,36.22063175,17.94617555,0,5.693927995,68.41218776,0,21.93848871,159.94,5.907179729,24.90865655,0,52.54772045,26.82327814,0,41.21048185,18.19910121,0,31.55879941,9.154013891,13.50743777,3.322466076,25.05707443,40.13146192,0.901263384,-1.102226318,11.76270516,1.514155998,-0.177671752,0,0.083333333,36,4,11,0,0,0,3,2,5,10,4,12,6,0,0,0,5,3.6347,132.1101,0,0,0,0,3,0,3,0,0,1,1,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0
comp_009,CHEMBL4476560,COc1ccc(NC(=O)Cn2cc(COc3cc(OC(C)=O)c4c(=O)c5ccc(Br)cc5oc4c3)nn2)cc1OC,26110,2.61E-05,4.583193128,13.18637091,13.18637091,0.013015339,-0.60365119,0.142012636,623.416,600.232,622.0699258,210,0.307551624,-0.492867535,0.492867535,0.307551624,1,1.804878049,2.56097561,79.91873146,10.11339289,2.17357933,-2.106552338,2.328067087,-2.187549323,9.103028055,-0.131373433,3.376199089,1.314338366,1849.060147,29.09528288,22.09595757,23.68195411,19.73191704,12.15997906,12.95297733,8.773929997,9.689605526,5.874168728,6.367420367,4.110982814,4.451064375,-4.91,1621364307,27.64913226,11.67910037,6.142338571,240.4198242,28.68139136,46.89685453,11.49902367,11.33597012,0,5.969305288,14.38361155,4.681802935,0,5.098681808,21.14332899,30.33183534,35.2829442,25.80266287,32.95367712,55.4323039,0,14.99386984,0,20.07537557,19.53638369,75.11775521,22.99804733,29.69303081,5.687386275,22.99804733,15.9299439,41.08994994,22.74071274,0,12.61766519,68.41218776,0,21.93848871,144.01,5.969305288,14.38361155,0,46.95587651,33.84958229,4.472719516,37.95786935,42.59504598,0,31.55879941,23.36460275,29.69033672,3.372075675,37.48600768,11.25594919,1.164571608,0.375818142,13.02274813,1.562867465,1.117190346,3.03576838,0.178571429,41,1,12,0,0,0,3,2,5,11,1,13,9,0,0,0,5,4.4604,151.5287,0,0,0,0,3,0,0,0,0,2,2,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,3,2,1,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comp_010,CHEMBL4451810,O=C(c1ccc(F)cc1)n1nnc2ccccc21,2820,2.82E-06,5.549750892,12.79944495,12.79944495,0.329907407,-0.379631152,0.65615889,241.225,233.161,241.0651401,88,0.279661518,-0.266657081,0.279661518,0.266657081,1.055555556,1.777777778,2.555555556,19.14214153,10.17870539,2.129450303,-2.003671043,2.121127095,-2.131022471,5.995274427,0.094783959,2.824555618,2.092438066,718.4393781,12.53516943,9.246655703,9.246655703,8.754020195,5.362644249,5.362644249,3.802006042,3.802006042,2.635359719,2.635359719,1.733679547,1.733679547,-2.56,24731.80899,10.58494782,4.030245639,1.655970527,101.6574965,0,11.33392156,0,0,5.907179729,0,4.794537184,4.390415048,4.681802935,5.098681808,17.34611923,36.39820241,5.563451492,5.516700718,9.184952232,16.94058116,0,14.99386984,0,0,0,59.91160888,0,0,4.390415048,0,0,20.90104957,0,5.817220841,10.35798868,48.53093655,0,11.03340144,47.78,0,9.184952232,0,11.72440057,16.59685293,0,28.94727121,18.19910121,6.066367068,10.3120669,0,14.0103293,0,12.17070673,7.718266408,1.645221981,-0.709538559,12.49834747,0,0,0,0,18,0,4,0,0,0,2,1,3,4,0,5,1,0,0,0,3,2.2589,63.6565,0,0,0,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
comp_011,CHEMBL1253491,COc1ccccc1C(=O)n1nnc2ccccc21,4790,4.79E-06,5.319664487,12.48157785,12.48157785,0.258194444,-0.258194444,0.701650209,253.261,242.173,253.0851266,94,0.283422483,-0.495922866,0.495922866,0.283422483,1.105263158,1.842105263,2.684210526,16.46617111,10.15874069,2.167369524,-2.062964876,2.197168412,-2.142559937,6.015698311,0.094483963,2.90149902,2.137719184,749.0407083,13.24227621,10.27693952,10.27693952,9.30886175,5.792017513,5.792017513,3.99539658,3.99539658,2.881570001,2.881570001,1.954346443,1.954346443,-2.69,43687.87075,11.40322396,4.529108888,1.848021407,108.9704484,4.736862954,11.26621255,0,0,5.907179729,0,4.794537184,0,4.681802935,5.098681808,29.47885337,24.26546827,0,18.18994975,9.531400138,16.94058116,0,14.99386984,0,0,7.109797541,54.09438804,5.749511833,4.736862954,0,5.749511833,0,28.01084711,0,0,10.35798868,48.53093655,0,11.03340144,57.01,0,4.794537184,0,5.907179729,22.34636476,0,11.79160048,18.19910121,30.33183534,10.3120669,4.736862954,6.47913407,0,12.48157785,7.880641534,1.823895503,0.262251039,14.37254063,0,0,1.533292706,0.071428571,19,0,5,0,0,0,2,1,3,5,0,5,2,0,0,0,3,2.1284,70.2505,0,0,0,0,3,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
